artist1,artist1_normalized,artist2,artist2_normalized,shows_together
Kimberly Knighton,kimberly knighton,"Mark Carey""EP Release","mark carey""ep release",1
The Lovestrange,the lovestrange,The New Electric Sound,the new electric sound,1
Deadtooth,deadtooth,Mad Max,mad max,1
Hooligans Brass Band,hooligans brass band,Vicious Beat,vicious beat,1
TerraQ,terraq,The Naked Waiters,the naked waiters,1
Mad Max,mad max,Wild Ones,wild ones,1
Deadtooth,deadtooth,NA-G,na-g,1
Adalyn Gaston,adalyn gaston,"Mark Carey""EP Release","mark carey""ep release",1
Mad Max,mad max,The Lovestrange,the lovestrange,1
Festive People,festive people,Grey Glass,grey glass,1
Brumby,brumby,The National Parks,the national parks,1
Drape,drape,Festive People,festive people,1
04 MATT POND PA,04 matt pond pa,Young Buffalo,young buffalo,1
Brandon Robbins,brandon robbins,Nate Pyfer,nate pyfer,1
